,LINK_ID,Source,Target,ROAD_USE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,WORKSTATE,TMPID,IDCHECK,SOSFNODEID,SOSTNODEID,SOSBUILDID,ORDERID,USERID,STNL_REG,DEPT_CODE,ID½Å±ÔºÎ¿©,len
100,2060087400,2060031600,2060027500,0,0,107,000,-,¼ö³»·Î,0,000,0,0,0,0,,5,,,OEXT2060031600,OEXT2060027500,OEXT2060087400,,sn_si-kg,206,00000,,0.00577559742606
101,2060108600,2060035300,2060034400,0,0,107,000,-,ºÐ´ç·Î,0,000,0,0,0,0,,5,,,OEXT2060035300,OEXT2060034400,OEXT2060108600,,sn_si-kg,206,00000,,0.00131935883633
102,2060123400,2060003600,2060002300,0,0,105,000,57,³Ê´õ¸®±æ,0,000,0,0,0,0,,5,,,OEXT2060003600,OEXT2060002300,OEXT2060123400,,sn_si-kg,206,00000,,0.0043478727974
103,2060103200,2060033200,2060032400,0,0,107,000,-,¼ö³»·Î,0,000,0,0,0,0,,5,,,OEXT2060033200,OEXT2060032400,OEXT2060103200,,sn_si-kg,206,00000,,0.0012822916598
104,2060103000,2060032700,2060032300,0,0,107,000,-,ÃÊ¸²±æ,0,000,0,0,0,0,,5,,,OEXT2060032700,OEXT2060032300,OEXT2060103000,,sn_si-kg,206,00000,,0.000830819193916
105,2060106600,2060034400,2060033800,0,0,107,000,-,ºÐ´ç·Î,0,000,0,0,0,0,,5,,,OEXT2060034400,OEXT2060033800,OEXT2060106600,,sn_si-kg,206,00000,,0.00132728108474
106,2060120800,2060038800,2060038100,0,0,107,000,-,¾çÇö±æ,0,000,0,0,0,0,,5,,,OEXT2060038800,OEXT2060038100,OEXT2060120800,,sn_si-kg,206,00000,,0.00120288957021
107,2060109800,2060034800,2060035400,0,0,107,000,-,»õµ¿¾È±æ,0,000,0,0,0,0,,5,,,OEXT2060034800,OEXT2060035400,OEXT2060109800,,sn_si-kg,206,00000,,0.000640337941148
108,2060100400,2060032300,2060031400,0,0,107,000,-,¸¶·çµé±æ,0,000,0,0,0,0,,5,,,OEXT2060032300,OEXT2060031400,OEXT2060100400,,sn_si-kg,206,00000,,0.00188571887813
109,2060102000,2060032300,2060032000,0,0,107,000,-,ÃÊ¸²±æ,0,000,0,0,0,0,,5,,,OEXT2060032300,OEXT2060032000,OEXT2060102000,,sn_si-kg,206,00000,,0.000474598174449
110,2060113000,2060036100,2060035700,1,0,107,000,-,»õµ¿¾È1±æ,0,000,0,0,0,0,,5,,,OEXT2060036100,OEXT2060035700,OEXT2060113000,,sn_si-kg,206,00000,,0.000939554098402
111,2060122000,2060038700,2060038400,0,0,107,000,-,È²»õ¿ï2±æ,0,000,0,0,0,0,,5,,,OEXT2060038700,OEXT2060038400,OEXT2060122000,,sn_si-kg,206,00000,,0.000890165668236
112,2060119800,2060038400,2060037700,0,0,107,000,-,-,0,000,0,0,0,0,,5,,,OEXT2060038400,OEXT2060037700,OEXT2060119800,,sn_si-kg,206,00000,,0.00102805851475
113,2060121000,2060038700,2060038200,0,0,107,000,-,È²»õ¿ï±æ,0,000,0,0,0,0,,5,,,OEXT2060038700,OEXT2060038200,OEXT2060121000,,sn_si-kg,206,00000,,0.000985739905403
114,2060118200,2060037700,2060037300,0,0,107,000,-,È²»õ¿ï3±æ,0,000,0,0,0,0,,5,,,OEXT2060037700,OEXT2060037300,OEXT2060118200,,sn_si-kg,206,00000,,0.00074888604642
115,2060154400,2060048900,2060049600,0,0,107,000,-,¹ø¿µ·Î,0,000,0,0,0,0,,5,,,OEXT2060048900,OEXT2060049600,OEXT2060154400,,sn_si-kg,206,00000,,0.001834830443
116,2060163400,2060051800,2060051700,0,0,107,000,-,¾ßÅ¾°ø¿ø±æ,0,000,0,0,0,0,,5,,,OEXT2060051800,OEXT2060051700,OEXT2060163400,,sn_si-kg,206,00000,,0.00125279306368
117,2060170400,2060053900,2060054200,0,0,107,000,-,Àå¹Ì·Î,0,000,0,0,0,0,,5,,,OEXT2060053900,OEXT2060054200,OEXT2060170400,,sn_si-kg,206,00000,,0.0024765006263
